"enquadramento";"2019";"2020";"2021";"2022"
"Estacionar Afastado Da Guia Da Calcada (Meio-Fio) A Mais De 1m";968;576;530;524
"Transitar Com O Veiculo Em Canteiros Centrais/Divisores De Pista De Rolamento";859;487;342;524
"Conduzir Animais Nas Partes Externas Do Veiculo";761;530;387;507
"Estacionar Nas Pontes";449;48;47;502
"Usar Buzina Que Nao A De Toque Breve Como Advertencia A Pedestre Ou Condutores";1070;458;319;496
"Dirigir Ameacando Os Demais Veiculos";820;571;498;493
"Parar No Passeio/Calcada";1188;690;419;461
"Ter Seu Veiculo Imobilizado Na Via Por Falta De Combustivel";580;348;416;443
"Em Movimento, Deixar De Manter Acesa Luz Baixa Do Ciclomotor";27;24;76;430
"Estacionar Em Desacordo Com A Regulamentacao - Vaga De Curta Duracao";791;534;133;355
"Parar Afastado Da Guia Da Calcada (Meio-Fio) De 50cm A 1m";1236;392;245;352
"Dirigir Ameacando Os Pedestres Que Estejam Atravessando A Via Publica";450;280;296;332
"Conduzir Motocicleta/Motoneta/Ciclomotor Sem Segurar O Guidom Com Ambas As Maos";358;454;335;329
"Conduzir O Veiculo Transportando Passageiros Em Compartimento De Carga";564;402;296;309
"Usar Buzina Prolongada E Sucessivamente A Qualquer Pretexto";847;513;587;309
"Executar Operacao De Retorno Passando Por Cima De Canteiro Divisor De Pista";406;329;212;305
"Transitar C/Veic E/Ou Carga C/Dimensoes Superiores Limite Legal S/Autorizacao";108;205;160;282
"Parar Nas Esquinas E A Menos De 5m Do Bordo Do Alinhamento Da Via Transversal";243;138;197;280
"Estacionar Em Desacordo Com A Regulamentacao - Vaga De Carga/Descarga";536;534;271;268
"Deixar De Dar Preferencia A Pedestre/Veic N Mot Que N Haja Concluido A Travessia";746;337;243;258
"Deixar Guardar Dist Seguranca Lat/Front Entre Seu Veic E Demais E Ao Bordo Pista";560;544;240;249
"Utilizar O Pisca-Alerta, Exceto Em Imobilizacoes Ou Situacoes De Emergencia";715;597;350;233
"Fazer Uso Do Facho De Luz Alta Dos Farois Em Vias Providas De Iluminacao Publica";367;504;227;231
"Deixar De Indicar C/Antec, Med Gesto De Braco/Luz Indicadora, Inicio Da Marcha";710;429;256;227
"Estacionar Afastado Da Guia Da Calcada (Meio-Fio) De 50cm A 1m";345;275;258;215
"Deixar De Dar Preferencia A Pedestre/Veic Nao Mot Atravessando A Via Transversal";993;341;128;194
"Estacionar Nas Ilhas Ou Refugios";264;165;196;185
"Executar Operacao De Retorno Passando Por Cima Faixa De Pedestres";281;201;191;175
"Transitar Com O Veiculo Em Acostamentos";2901;266;92;175
"Usar Veiculo Para, Deliberadamente, Perturbar A Circulacao Na Via";131;109;195;172
"Deixar De Conservar Nas Faixas Da Direita O Veiculo Lento E De Maior Porte";788;339;195;156
"Estacionar Impedindo A Movimentacao De Outro Veiculo";556;249;230;156
"Ultrapassar Pela Contramao Veiculo Parado Em Fila Junto Sinal Luminoso";204;111;140;149
"Ultrapassar Pela Direita, Salvo Qdo Veic Da Frente Der Sinal P/Entrar Esquerda";177;202;147;149
"Estacionar Na Area De Cruzamento De Vias";269;246;93;147
